Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion
100,C055,42,5,09-05-2023,5.50.07 AM,17-05-2023,5.30.26 AM,Bhiwani,All Occasions
101,C064,70,4,19-06-2023,3.56.52 AM,21-06-2023,6.18.37 AM,Belgaum,Birthday
102,C081,10,3,28-10-2023,7.34.14 PM,06-11-2023,7.06.35 AM,Ozhukarai,Birthday
103,C097,18,3,01-02-2023,12.24.59 PM,08-02-2023,10.51.39 PM,Ichalkaranji,Birthday
104,C082,51,3,29-12-2023,1.45.29 AM,05-01-2024,12.15.28 AM,Ahmednagar,All Occasions
105,C063,36,2,11-02-2023,2.57.36 AM,21-02-2023,1.34.10 AM,Guna,Birthday
106,C095,41,2,06-11-2023,5.55.46 PM,08-11-2023,11.00.28 PM,Chinsurah,Diwali
107,C041,4,3,06-11-2023,10.18.07 AM,12-11-2023,2.20.21 PM,Gorakhpur,Diwali
108,C012,26,4,27-02-2023,9.03.26 AM,05-03-2023,8.03.05 AM,Berhampore,Holi
109,C074,50,5,27-02-2023,3.35.48 PM,01-03-2023,8.38.56 AM,Gandhidham,Holi
110,C075,26,2,04-03-2023,11.23.44 AM,13-03-2023,8.27.31 AM,Kishanganj,Holi
111,C009,8,3,21-06-2023,2.18.57 PM,25-06-2023,9.03.57 PM,Ramgarh,Anniversary
112,C023,37,3,11-11-2023,6.36.04 AM,14-11-2023,3.50.59 PM,Kochi,Diwali
113,C032,1,3,14-11-2023,3.30.30 PM,23-11-2023,4.26.47 AM,Bulandshahr,All Occasions
114,C009,40,4,03-02-2023,4.03.15 PM,07-02-2023,2.22.48 AM,Kirari Suleman Nagar,Anniversary
115,C095,57,1,28-04-2023,6.11.22 PM,05-05-2023,11.36.31 AM,Jhansi,Birthday
116,C009,4,3,11-11-2023,2.28.05 PM,20-11-2023,5.25.26 AM,Howrah,Diwali
117,C033,59,3,20-08-2023,6.50.05 PM,22-08-2023,3.43.01 AM,Loni,Raksha Bandhan
118,C035,62,1,27-02-2023,2.30.59 PM,05-03-2023,10.32.52 AM,Bhavnagar,Holi
119,C010,6,4,04-03-2023,11.02.10 AM,12-03-2023,12.22.18 PM,Fatehpur,Holi
120,C050,61,1,25-12-2023,10.26.37 PM,31-12-2023,9.57.24 AM,Kalyan-Dombivli,Anniversary
121,C048,33,3,05-02-2023,2.18.55 AM,09-02-2023,7.29.31 AM,Guntur,Valentine's Day
122,C083,24,5,03-10-2023,9.04.23 AM,13-10-2023,3.15.14 AM,Gulbarga,Birthday
123,C026,38,1,15-01-2023,12.31.09 AM,25-01-2023,4.58.43 AM,Malegaon,Birthday
124,C030,67,4,21-07-2023,8.44.55 AM,23-07-2023,5.23.44 AM,Bhilwara,Anniversary
125,C020,31,2,19-03-2023,9.12.11 AM,25-03-2023,2.36.11 PM,Kolkata,All Occasions
126,C040,19,5,04-02-2023,2.28.24 AM,13-02-2023,1.16.38 PM,Dharmavaram,Valentine's Day
127,C051,60,4,02-11-2023,2.04.38 PM,03-11-2023,7.25.01 PM,Dhanbad,Diwali
128,C065,12,3,06-03-2023,4.50.28 PM,13-03-2023,3.11.19 PM,Kochi,Anniversary
129,C051,67,2,17-02-2023,5.21.30 AM,20-02-2023,8.17.32 AM,Ramgarh,Anniversary
130,C070,10,5,22-04-2023,1.32.41 PM,27-04-2023,10.01.54 PM,Darbhanga,Birthday
131,C078,3,5,04-02-2023,8.30.50 PM,11-02-2023,8.29.03 AM,Satara,Valentine's Day
132,C045,49,4,04-02-2023,11.23.41 PM,13-02-2023,7.55.48 PM,Thoothukudi,Valentine's Day
133,C018,43,5,10-11-2023,3.51.54 PM,16-11-2023,11.22.51 AM,Tiruppur,Diwali
134,C036,69,5,05-03-2023,7.12.46 PM,14-03-2023,4.58.29 AM,Malda,Holi
135,C087,30,2,13-12-2023,10.20.09 AM,14-12-2023,3.43.20 PM,Bokaro,Anniversary
136,C036,56,1,05-09-2023,4.08.59 PM,09-09-2023,10.12.18 PM,Guna,Anniversary
137,C070,47,2,05-03-2023,4.06.24 PM,11-03-2023,7.29.21 AM,Warangal,Holi
138,C022,57,4,11-03-2023,9.33.56 AM,18-03-2023,6.02.40 AM,Siliguri,Birthday
139,C055,54,4,11-05-2023,4.14.45 AM,16-05-2023,6.12.44 PM,Amritsar,Anniversary
140,C015,47,1,04-03-2023,6.19.35 AM,13-03-2023,9.29.35 PM,Bharatpur,Holi
141,C062,35,4,28-02-2023,3.55.06 AM,10-03-2023,2.31.56 AM,Allahabad,Holi
142,C029,23,2,23-10-2023,2.31.13 AM,27-10-2023,4.24.16 AM,Bharatpur,Anniversary
143,C087,66,2,28-02-2023,7.37.18 AM,10-03-2023,2.49.54 PM,Ramagundam,Holi
144,C090,51,5,18-01-2023,9.01.03 AM,23-01-2023,3.23.15 AM,Srinagar,All Occasions
145,C055,59,5,29-08-2023,4.52.56 PM,03-09-2023,1.04.25 PM,Kumbakonam,Raksha Bandhan
146,C030,52,5,13-02-2023,6.23.55 PM,16-02-2023,4.07.37 AM,Vijayawada,Valentine's Day
147,C080,8,4,17-03-2023,7.28.15 PM,23-03-2023,1.51.11 PM,Jodhpur,Anniversary
148,C046,24,3,05-12-2023,2.09.08 AM,07-12-2023,8.57.38 AM,Gopalpur,Birthday
149,C008,5,3,06-10-2023,11.23.09 PM,09-10-2023,8.09.12 PM,Mangalore,All Occasions
150,C092,27,5,26-08-2023,7.18.17 AM,29-08-2023,4.56.13 PM,Bidar,Raksha Bandhan
151,C051,43,1,03-11-2023,9.42.26 PM,10-11-2023,3.56.02 AM,Jalna,Diwali
152,C084,51,2,27-02-2023,10.48.51 AM,05-03-2023,4.39.22 PM,Tiruppur,All Occasions
153,C094,16,4,04-03-2023,12.15.00 PM,10-03-2023,6.04.43 AM,Rewa,Holi
154,C049,45,5,21-11-2023,11.14.18 PM,25-11-2023,2.04.59 AM,Indore,Birthday
155,C023,23,3,01-05-2023,2.46.58 PM,06-05-2023,12.00.30 AM,Sambhal,Anniversary
156,C030,61,2,09-02-2023,8.20.50 AM,12-02-2023,10.49.14 AM,Ozhukarai,Anniversary
157,C019,35,3,26-02-2023,12.44.17 PM,06-03-2023,11.35.44 AM,Thiruvananthapuram,Holi
158,C007,35,2,03-03-2023,3.40.17 PM,08-03-2023,2.53.01 AM,Medininagar,Holi
159,C095,43,3,09-11-2023,9.31.39 PM,11-11-2023,4.55.56 AM,Davanagere,Diwali
160,C037,36,3,02-06-2023,12.28.57 AM,10-06-2023,7.52.59 AM,Moradabad,Birthday
161,C054,58,3,13-02-2023,3.08.06 AM,14-02-2023,11.12.01 PM,Karaikudi,Valentine's Day
162,C050,55,3,27-08-2023,6.14.31 AM,05-09-2023,3.53.45 PM,Barasat,Raksha Bandhan
163,C083,54,4,17-02-2023,7.50.10 PM,25-02-2023,10.20.16 AM,Ujjain,Anniversary
164,C063,14,5,25-04-2023,2.04.02 AM,27-04-2023,11.49.33 AM,Berhampore,Birthday
165,C058,40,5,06-08-2023,1.11.16 PM,10-08-2023,8.37.14 AM,Lucknow,Anniversary
166,C035,4,3,07-11-2023,11.05.28 PM,10-11-2023,6.12.46 AM,Madanapalle,Diwali
167,C019,37,4,04-11-2023,1.26.51 AM,07-11-2023,3.16.27 PM,Nangloi Jat,Diwali
168,C092,35,2,04-03-2023,3.36.03 PM,07-03-2023,11.02.42 AM,Bidar,Holi
169,C051,3,2,06-02-2023,10.28.57 AM,16-02-2023,1.26.19 AM,Shivpuri,Valentine's Day
170,C040,32,2,21-03-2023,11.58.13 AM,27-03-2023,5.14.07 AM,Kamarhati,Birthday
171,C071,54,3,30-06-2023,11.47.49 AM,08-07-2023,12.27.06 PM,Tiruvottiyur,Anniversary
172,C070,62,4,03-03-2023,4.40.04 AM,08-03-2023,5.12.47 AM,Patiala,Holi
173,C072,58,2,07-02-2023,11.15.37 PM,13-02-2023,1.51.53 AM,Deoghar,Valentine's Day
174,C048,4,3,03-11-2023,3.39.20 PM,13-11-2023,6.06.46 PM,Malda,Diwali
175,C042,31,1,13-10-2023,1.17.47 AM,20-10-2023,7.22.52 AM,Navi Mumbai,All Occasions
176,C039,17,2,10-03-2023,3.34.46 AM,16-03-2023,5.24.51 PM,Moradabad,Anniversary
177,C085,62,4,05-03-2023,1.49.12 AM,07-03-2023,2.50.42 PM,Satara,Holi
178,C097,61,1,14-11-2023,11.04.31 PM,16-11-2023,2.14.23 AM,Bhilai,Anniversary
179,C078,47,3,28-02-2023,3.16.02 PM,10-03-2023,2.31.07 PM,Vijayanagaram,Holi
180,C058,55,2,24-08-2023,4.40.33 PM,27-08-2023,8.45.14 AM,Nellore,Raksha Bandhan
181,C064,10,4,28-08-2023,5.55.22 AM,06-09-2023,4.53.28 AM,Howrah,Birthday
182,C070,2,1,08-02-2023,11.21.30 PM,15-02-2023,6.07.33 AM,Chennai,Valentine's Day
183,C082,48,3,09-11-2023,6.11.41 PM,11-11-2023,3.29.26 PM,Bahraich,Diwali
184,C027,52,3,11-02-2023,9.34.53 PM,20-02-2023,5.00.29 AM,Dharmavaram,Valentine's Day
185,C068,18,1,07-05-2023,7.10.45 AM,17-05-2023,8.00.43 PM,Raurkela Industrial Township,Birthday
186,C048,61,1,09-05-2023,9.09.44 AM,11-05-2023,12.16.23 AM,Kollam,Anniversary
187,C008,49,5,11-02-2023,9.10.41 PM,16-02-2023,9.34.09 AM,Anantapur,Valentine's Day
188,C067,22,5,18-09-2023,1.38.33 AM,25-09-2023,2.02.12 PM,Serampore,All Occasions
189,C016,57,1,19-11-2023,5.22.19 PM,22-11-2023,1.21.54 PM,Srikakulam,Birthday
190,C096,60,5,09-11-2023,12.33.49 PM,13-11-2023,1.41.24 PM,Darbhanga,Diwali
191,C012,24,3,12-10-2023,6.13.06 PM,17-10-2023,8.50.02 AM,Etawah,Birthday
192,C060,64,5,20-08-2023,12.28.32 PM,21-08-2023,2.11.18 AM,Vijayanagaram,Raksha Bandhan
193,C038,42,4,16-08-2023,11.44.29 PM,19-08-2023,2.34.02 AM,Nanded,All Occasions
194,C030,58,4,08-02-2023,11.41.29 AM,09-02-2023,4.54.30 AM,Pondicherry,Valentine's Day
195,C037,67,5,10-04-2023,5.33.53 AM,17-04-2023,7.51.40 AM,Jamalpur,Anniversary
196,C063,30,2,05-08-2023,9.37.50 AM,13-08-2023,8.58.06 AM,Begusarai,Anniversary
197,C095,45,2,22-03-2023,6.38.42 PM,26-03-2023,3.30.06 AM,Etawah,Birthday
198,C090,24,2,27-08-2023,10.33.37 PM,04-09-2023,1.09.50 AM,Phagwara,Birthday
199,C093,70,5,16-08-2023,1.54.30 AM,19-08-2023,4.24.59 PM,Bareilly,Birthday
200,C067,23,5,03-01-2023,8.04.16 PM,08-01-2023,11.18.52 PM,Agartala,Anniversary
201,C004,55,4,24-08-2023,4.40.14 AM,30-08-2023,3.52.28 AM,Dewas,Raksha Bandhan
202,C089,36,5,27-07-2023,8.13.48 AM,01-08-2023,3.02.01 AM,Bhimavaram,Birthday
203,C039,9,5,29-08-2023,5.39.00 AM,08-09-2023,10.40.14 PM,Vijayanagaram,Raksha Bandhan
204,C062,10,4,03-07-2023,10.46.43 AM,09-07-2023,6.29.03 AM,Jaipur,Birthday
205,C022,46,5,06-07-2023,5.17.21 AM,09-07-2023,11.47.12 AM,Davanagere,Anniversary
206,C099,68,3,11-02-2023,10.12.16 PM,13-02-2023,12.42.01 PM,Ulhasnagar,Valentine's Day
207,C078,6,2,05-03-2023,1.13.16 AM,07-03-2023,12.15.56 PM,Amravati,Holi
208,C001,18,5,02-04-2023,4.30.47 AM,12-04-2023,7.06.36 AM,Kulti,Birthday
209,C071,70,2,22-06-2023,12.44.32 AM,23-06-2023,9.44.32 PM,Hajipur,Birthday
210,C095,32,4,10-12-2023,12.46.32 AM,15-12-2023,8.02.35 AM,Aligarh,Birthday
211,C043,31,5,22-10-2023,6.14.59 PM,29-10-2023,5.40.03 PM,Orai,All Occasions
212,C093,7,2,28-02-2023,7.14.40 AM,05-03-2023,8.01.45 PM,Ozhukarai,Holi
213,C022,42,5,14-02-2023,8.26.18 AM,24-02-2023,8.58.11 AM,Dehradun,All Occasions
214,C099,13,3,01-03-2023,7.49.55 AM,07-03-2023,8.27.25 AM,Durgapur,Holi
215,C098,17,1,21-05-2023,3.54.26 AM,24-05-2023,12.37.34 PM,Katni,Anniversary
216,C004,23,1,03-10-2023,3.46.35 PM,08-10-2023,8.46.28 PM,Bhatpara,Anniversary
217,C042,53,4,27-08-2023,3.04.34 AM,30-08-2023,4.42.19 PM,Rajkot,Raksha Bandhan
218,C061,31,4,13-06-2023,10.55.11 PM,16-06-2023,3.06.01 AM,Gurgaon,All Occasions
219,C027,16,5,05-03-2023,12.36.07 AM,11-03-2023,10.36.05 AM,Bhimavaram,Holi
220,C001,26,3,06-03-2023,12.26.54 PM,15-03-2023,2.41.52 PM,Jalandhar,Holi
221,C076,28,4,21-08-2023,2.11.04 AM,30-08-2023,2.00.35 PM,Naihati,Raksha Bandhan
222,C099,6,5,26-02-2023,5.57.25 AM,07-03-2023,6.20.50 PM,Guntur,Holi
223,C051,49,2,05-02-2023,8.44.25 AM,13-02-2023,10.17.59 AM,Bhalswa Jahangir Pur,Valentine's Day
224,C028,34,1,24-08-2023,9.01.58 PM,29-08-2023,2.06.40 AM,Suryapet,Raksha Bandhan
225,C093,52,5,05-02-2023,12.12.26 PM,06-02-2023,6.01.06 PM,Arrah,Valentine's Day
226,C064,14,2,08-09-2023,8.48.50 AM,12-09-2023,11.20.36 AM,Hospet,Birthday
227,C004,24,4,25-12-2023,6.50.42 PM,26-12-2023,2.09.44 PM,Surat,Birthday
228,C035,36,1,10-03-2023,6.40.52 PM,11-03-2023,10.30.00 AM,Bijapur,Birthday
229,C079,49,3,11-02-2023,8.55.38 PM,20-02-2023,9.32.50 AM,Junagadh,Valentine's Day
230,C053,64,3,27-08-2023,8.27.50 AM,01-09-2023,1.35.49 AM,Mehsana,Raksha Bandhan
231,C093,64,3,24-08-2023,9.15.18 AM,28-08-2023,9.13.01 PM,Proddatur,Raksha Bandhan
232,C044,28,3,22-08-2023,12.06.09 PM,23-08-2023,9.00.02 AM,Nadiad,Raksha Bandhan
233,C098,64,4,26-08-2023,10.15.19 PM,30-08-2023,4.07.39 AM,Nizamabad,Raksha Bandhan
234,C097,42,1,24-03-2023,9.18.12 PM,01-04-2023,12.36.53 AM,Khandwa,All Occasions
235,C071,56,2,26-02-2023,2.26.46 PM,03-03-2023,11.26.23 PM,Bhilai,Anniversary
236,C044,23,5,03-09-2023,6.33.52 AM,11-09-2023,2.10.18 AM,Panvel,Anniversary
237,C024,55,1,26-08-2023,9.23.53 AM,30-08-2023,8.19.20 AM,Sasaram,Raksha Bandhan
238,C083,26,4,05-03-2023,7.56.43 AM,11-03-2023,8.18.17 PM,Jammu,Holi
239,C088,27,3,29-08-2023,8.33.45 AM,06-09-2023,1.23.08 PM,Gurgaon,Raksha Bandhan
240,C074,5,5,25-03-2023,6.03.38 AM,30-03-2023,3.43.28 PM,Darbhanga,All Occasions
241,C067,20,2,05-09-2023,9.52.16 AM,07-09-2023,8.58.21 AM,Indore,Anniversary
242,C012,21,1,23-08-2023,10.24.46 AM,31-08-2023,4.02.32 PM,Amroha,Raksha Bandhan
243,C043,3,1,05-02-2023,8.50.37 PM,10-02-2023,12.30.54 PM,Siwan,Valentine's Day
244,C041,65,3,20-03-2023,3.06.01 PM,30-03-2023,7.06.40 AM,Guntakal,All Occasions
245,C020,50,3,05-03-2023,6.25.26 AM,11-03-2023,9.30.30 AM,Noida,Holi
246,C017,69,5,28-02-2023,11.24.33 PM,08-03-2023,12.38.49 AM,Agra,Holi
247,C052,23,4,11-10-2023,5.58.48 AM,16-10-2023,2.58.46 AM,Gudivada,Anniversary
248,C044,19,5,08-02-2023,8.43.41 AM,10-02-2023,4.15.01 AM,Alwar,Valentine's Day
249,C003,14,2,10-09-2023,10.22.16 PM,19-09-2023,11.17.36 PM,Bareilly,Birthday
250,C086,37,5,08-11-2023,3.07.27 PM,09-11-2023,1.32.06 AM,Korba,Diwali
251,C051,7,4,28-02-2023,12.31.48 AM,02-03-2023,12.19.44 AM,Khora ,Holi
252,C040,69,2,26-02-2023,5.41.28 AM,28-02-2023,8.11.16 AM,Nandyal,Holi
253,C010,68,2,12-02-2023,2.24.46 PM,14-02-2023,5.39.27 AM,Bangalore,Valentine's Day
254,C093,1,5,07-07-2023,12.09.44 AM,15-07-2023,5.27.49 AM,Bhilai,All Occasions
255,C092,45,2,27-12-2023,3.42.35 AM,06-01-2024,9.23.14 AM,Suryapet,Birthday
256,C065,4,5,06-11-2023,7.13.49 PM,14-11-2023,6.05.55 PM,Suryapet,Diwali
257,C077,21,3,22-08-2023,3.42.59 PM,24-08-2023,10.39.39 PM,Chinsurah,Raksha Bandhan
258,C044,46,5,16-04-2023,5.40.39 AM,20-04-2023,8.05.32 PM,Vijayawada,Anniversary
259,C001,62,1,05-03-2023,3.21.54 PM,10-03-2023,12.04.01 AM,Sirsa,Holi
260,C100,69,5,06-03-2023,1.06.11 PM,16-03-2023,10.22.30 PM,Satara,Holi
